resistance_thumb,bend_thumb,resistance_index,bend_index,resistance_mid,bend_mid,resistance_ring,bend_ring,resistance_little,bend_little,x,y,z,stage
13736.25,22,10923,5,10219.69,1,11311.04,7,10923,5,-37,77,-85,0
12654.23,15,10560,3,10219.69,1,10923,5,11726.79,10,-37,75,-84,0
12654.23,15,10560,3,10560,3,10923,5,10923,5,-37,76,-84,0
12654.23,15,10219.69,1,10219.69,1,10923,5,11311.04,7,-38,73,-87,0
12654.23,15,10219.69,1,10560,3,10560,3,10923,5,-36,75,-88,0
11726.79,10,10219.69,1,10219.69,1,10923,5,10923,5,-38,76,-87,0
11726.79,10,10560,3,10560,3,10923,5,11311.04,7,-38,74,-84,0
10923,5,10560,3,10560,3,11311.04,7,11311.04,7,-38,75,-84,0
10923,5,10923,5,10219.69,1,10560,3,10923,5,-36,75,-88,0
11311.04,7,10560,3,10219.69,1,10923,5,10923,5,-38,75,-83,0
11726.79,10,10560,3,10560,3,11311.04,7,11311.04,7,-37,72,-87,0
11726.79,10,10560,3,10219.69,1,11311.04,7,10923,5,-40,78,-85,0
10923,5,10560,3,10219.69,1,11311.04,7,11311.04,7,-39,74,-85,0
10923,5,10560,3,10560,3,10923,5,10560,3,-36,73,-86,0
10923,5,10560,3,10219.69,1,10923,5,10923,5,-37,76,-85,0
11726.79,10,10560,3,10560,3,10560,3,11311.04,7,-38,74,-85,0
11311.04,7,10560,3,10560,3,10923,5,11311.04,7,-40,76,-87,0
12173.33,13,10560,3,10219.69,1,10923,5,10923,5,-38,76,-84,0
13173.6,19,10219.69,1,11311.04,7,10923,5,10923,5,-38,75,-85,0
13173.6,19,10923,5,11311.04,7,11311.04,7,11311.04,7,-37,73,-88,0
13173.6,19,10560,3,11311.04,7,10923,5,11311.04,7,-37,76,-88,0
13736.25,22,10560,3,12173.33,13,11726.79,10,11726.79,10,-38,77,-87,1
13736.25,22,10923,5,13173.6,19,12654.23,15,11311.04,7,-36,74,-87,1
13736.25,22,11311.04,7,12654.23,15,12173.33,13,11311.04,7,-38,74,-87,1
14347.83,26,11726.79,10,13173.6,19,12173.33,13,12173.33,13,-38,73,-86,1
13173.6,19,12173.33,13,13173.6,19,12654.23,15,12654.23,15,-38,75,-87,1
13173.6,19,12173.33,13,13173.6,19,13173.6,19,12173.33,13,-37,74,-86,1
13173.6,19,12173.33,13,12654.23,15,13736.25,22,13173.6,19,-38,74,-86,1
13736.25,22,12654.23,15,13173.6,19,12654.23,15,13736.25,22,-37,74,-85,1
13736.25,22,12654.23,15,12654.23,15,13173.6,19,12654.23,15,-39,74,-86,1
