resistance_thumb,bend_thumb,resistance_index,bend_index,resistance_mid,bend_mid,resistance_ring,bend_ring,resistance_little,bend_little,x,y,z,stage
11311.04,7,13173.6,19,14347.83,26,12173.33,13,12173.33,13,66,50,-119,0
10923,5,13173.6,19,13736.25,22,11726.79,10,12654.23,15,65,47,-119,0
10923,5,13173.6,19,14347.83,26,11311.04,7,12173.33,13,67,50,-122,0
11311.04,7,13173.6,19,14347.83,26,11311.04,7,12654.23,15,66,50,-120,0
10923,5,12654.23,15,13736.25,22,11311.04,7,12173.33,13,63,50,-122,0
11311.04,7,13173.6,19,14347.83,26,11311.04,7,12173.33,13,66,48,-119,0
10923,5,15745.71,34,14347.83,26,10923,5,12173.33,13,65,51,-121,0
11311.04,7,16549.5,39,14347.83,26,11311.04,7,12173.33,13,65,50,-121,0
11311.04,7,18425,50,14347.83,26,11311.04,7,11311.04,7,66,50,-122,0
11726.79,10,20769.38,64,14347.83,26,11726.79,10,12173.33,13,65,50,-120,3
14347.83,26,23783.57,82,14347.83,26,11726.79,10,11726.79,10,66,50,-121,3
17437.89,44,30360,122,13173.6,19,13173.6,19,11726.79,10,67,50,-118,3
20769.38,64,33429,140,14347.83,26,18425,50,12173.33,13,66,49,-121,3
23783.57,82,33429,140,14347.83,26,25638.46,93,12173.33,13,66,50,-120,3
27802.5,106,37180,163,13736.25,22,33429,140,11311.04,7,66,49,-123,3
30360,122,37180,163,14347.83,26,37180,163,11726.79,10,65,50,-123,3
30360,122,37180,163,15015,30,37180,163,14347.83,26,66,48,-121,3
27802.5,106,33429,140,15745.71,34,47897.14,227,18425,50,65,49,-119,4
33429,140,41868.75,191,18425,50,41868.75,191,23783.57,82,67,47,-120,4
33429,140,41868.75,191,22176,73,41868.75,191,30360,122,66,48,-118,4
33429,140,41868.75,191,25638.46,93,41868.75,191,33429,140,64,47,-117,4
33429,140,41868.75,191,33429,140,47897.14,227,41868.75,191,66,48,-119,4
33429,140,41868.75,191,37180,163,37180,163,41868.75,191,68,48,-119,4
30360,122,41868.75,191,41868.75,191,41868.75,191,37180,163,66,49,-118,4
30360,122,47897.14,227,41868.75,191,41868.75,191,37180,163,65,47,-116,4
33429,140,47897.14,227,41868.75,191,41868.75,191,47897.14,227,67,49,-118,4
30360,122,41868.75,191,41868.75,191,37180,163,47897.14,227,66,49,-119,4
